neighborhood,neighborhood_ascii,lat,lng,city_name,city_id,state_name,state_id,source,timezone,zips,county_fips,county_name,id
Sunset Park,Sunset Park,40.64488,-74.01307,New York,1840034016,New York,NY,polygon,America/New_York,11220 11232,36047,Kings,184003401611364
Greenwood Heights,Greenwood Heights,40.66022,-74.00095,New York,1840034016,New York,NY,polygon,America/New_York,11215 11232,36047,Kings,184003401611365
Dyker Heights,Dyker Heights,40.62043,-74.01336,New York,1840034016,New York,NY,polygon,America/New_York,11228 11219,36047,Kings,184003401611366
Bay Ridge,Bay Ridge,40.62611,-74.0299,New York,1840034016,New York,NY,polygon,America/New_York,11209 11220,36047,Kings,184003401611367
Kensington,Kensington,40.63942,-73.97536,New York,1840034016,New York,NY,polygon,America/New_York,11230 11218,36047,Kings,184003401611368
Borough Park,Borough Park,40.63323,-73.9923,New York,1840034016,New York,NY,polygon,America/New_York,11218 11219 11204,36047,Kings,184003401611369
Mapleton,Mapleton,40.61983,-73.98021,New York,1840034016,New York,NY,polygon,America/New_York,11204,36047,Kings,184003401611370
Cypress Hill,Cypress Hill,40.68433,-73.88109,New York,1840034016,New York,NY,polygon,America/New_York,11207 11208,36047,Kings,184003401611371
Bedford-Stuyvesant,Bedford-Stuyvesant,40.68685,-73.93745,New York,1840034016,New York,NY,polygon,America/New_York,11205 11206 11221 11216 11233,36047,Kings,184003401611372
Prospect Lefferts Gardens,Prospect Lefferts Gardens,40.65937,-73.95511,New York,1840034016,New York,NY,polygon,America/New_York,11226 11225,36047,Kings,184003401611373
Gravesend,Gravesend,40.59442,-73.98154,New York,1840034016,New York,NY,polygon,America/New_York,11223 11214,36047,Kings,184003401611374
Canarsie,Canarsie,40.63879,-73.89996,New York,1840034016,New York,NY,polygon,America/New_York,11236,36047,Kings,184003401611375
Flatlands,Flatlands,40.62441,-73.93056,New York,1840034016,New York,NY,polygon,America/New_York,11210 11234,36047,Kings,184003401611376
Flatbush,Flatbush,40.64184,-73.95998,New York,1840034016,New York,NY,polygon,America/New_York,11226 11230 11210 11218,36047,Kings,184003401611377
Sheepshead Bay,Sheepshead Bay,40.5957,-73.94792,New York,1840034016,New York,NY,polygon,America/New_York,11229 11223 11235,36047,Kings,184003401611378
Midwood,Midwood,40.62006,-73.96067,New York,1840034016,New York,NY,polygon,America/New_York,11230 11210,36047,Kings,184003401611379
East Flatbush,East Flatbush,40.64846,-73.93359,New York,1840034016,New York,NY,polygon,America/New_York,11203 11226 11212 11210,36047,Kings,184003401611380
Crown Heights,Crown Heights,40.67134,-73.9449,New York,1840034016,New York,NY,polygon,America/New_York,11225 11213 11216 11238,36047,Kings,184003401611381
Brownsville,Brownsville,40.66574,-73.91203,New York,1840034016,New York,NY,polygon,America/New_York,11212 11233,36047,Kings,184003401611382
Cobble Hill,Cobble Hill,40.68758,-73.99665,New York,1840034016,New York,NY,polygon,America/New_York,11201 11231,36047,Kings,184003401611383
Carroll Gardens,Carroll Gardens,40.68031,-73.99736,New York,1840034016,New York,NY,polygon,America/New_York,11231,36047,Kings,184003401611384
Boerum Hill,Boerum Hill,40.68582,-73.98611,New York,1840034016,New York,NY,polygon,America/New_York,11201 11217,36047,Kings,184003401611385
Prospect Park,Prospect Park,40.66244,-73.96895,New York,1840034016,New York,NY,polygon,America/New_York,11238,36047,Kings,184003401611386
Marine Park,Marine Park,40.60392,-73.92584,New York,1840034016,New York,NY,polygon,America/New_York,11234,36047,Kings,184003401611387
Greenwood Cemetery,Greenwood Cemetery,40.65215,-73.99026,New York,1840034016,New York,NY,polygon,America/New_York,11215,36047,Kings,184003401611388
New Springville,New Springville,40.57925,-74.15559,New York,1840034016,New York,NY,polygon,America/New_York,10314 10308 10306,36085,Richmond,184003401611389
Bronx,Bronx,40.85369,-73.86761,New York,1840034016,New York,NY,polygon,America/New_York,10475 10474 10471 10470 10473 10472 10453 10452 10451 10457 10456 10455 10454 10459 10458 10466 10467 10464 10465 10462 10463 10460 10461 10468 10469 11370,36005,Bronx,184003401610100
Brooklyn,Brooklyn,40.64558,-73.94976,New York,1840034016,New York,NY,polygon,America/New_York,11249 11201 11203 11205 11207 11206 11209 11208 11229 11228 11226 11225 11224 11223 11222 11221 11220 11239 11231 11230 11212 11213 11210 11211 11216 11217 11214 11215 11218 11219 11238 11232 11233 11234 11235 11236 11237 11204,36047,Kings,184003401610101
Queens,Queens,40.72048,-73.81774,New York,1840034016,New York,NY,polygon,America/New_York,11451 11439 11432 11433 11430 11436 11434 11435 11411 11412 11413 11414 11415 11416 11417 11418 11419 11385 11368 11369 11366 11367 11364 11365 11362 11363 11360 11361 11101 11105 11001 11004 11109 11102 11103 11106 11104 11429 11428 11421 11420 11423 11422 11424 11427 11426 11379 11378 11375 11374 11377 11371 11370 11373 11372 11359 11358 11357 11356 11355 11354 11697 11694 11692 11693 11691 11005,36081,Queens,184003401610102
Manhattan,Manhattan,40.77809,-73.96831,New York,1840034016,New York,NY,polygon,America/New_York,10103 10128 10169 10168 10167 10165 10162 10028 10029 10026 10027 10024 10025 10022 10023 10020 10021 10004 10005 10006 10007 10001 10002 10003 10009 10065 10069 10282 10280 10040 10044 10199 10119 10115 10112 10110 10111 10152 10153 10154 10170 10171 10172 10173 10174 10177 10039 10038 10035 10034 10037 10036 10031 10030 10033 10032 10019 10018 10013 10012 10011 10010 10017 10016 10014 10271 10279 10278 10075,36061,New York,184003401610103
Staten Island,Staten Island,40.58082,-74.15341,New York,1840034016,New York,NY,polygon,America/New_York,10310 10311 10312 10314 10309 10308 10307 10306 10305 10304 10303 10302 10301,36085,Richmond,184003401610104
